country,year,sex,age,suicides_no,population
France,2008,female,35-54 years,1105.0,8762552.0
France,2008,female,5-14 years,6.0,3705031.0
France,2008,female,55-74 years,843.0,6570343.0
France,2008,female,75+ years,461.0,3430254.0
France,2008,male,15-24 years,422.0,3971604.0
France,2008,male,25-34 years,843.0,3876451.0
France,2008,male,35-54 years,3036.0,8513565.0
France,2008,male,5-14 years,20.0,3893417.0
France,2008,male,55-74 years,1952.0,5974431.0
France,2008,male,75+ years,1346.0,1985275.0
France,2009,female,15-24 years,122.0,3843704.0
France,2009,female,25-34 years,215.0,3905999.0
France,2009,female,35-54 years,1039.0,8763692.0
France,2009,female,5-14 years,11.0,3735948.0
France,2009,female,55-74 years,883.0,6675905.0
France,2009,female,75+ years,464.0,3487831.0
France,2009,male,15-24 years,404.0,3953357.0
France,2009,male,25-34 years,827.0,3838456.0
France,2009,male,35-54 years,3124.0,8526689.0
France,2009,male,5-14 years,26.0,3922145.0
France,2009,male,55-74 years,2033.0,6081994.0
France,2009,male,75+ years,1351.0,2035007.0
France,2010,female,15-24 years,117.0,3823806.0
France,2010,female,25-34 years,177.0,3906931.0
France,2010,female,35-54 years,1074.0,8736585.0
France,2010,female,5-14 years,17.0,3763028.0
France,2010,female,55-74 years,889.0,6785286.0
France,2010,female,75+ years,464.0,3538923.0
France,2010,male,15-24 years,385.0,3937209.0
France,2010,male,25-34 years,805.0,3829316.0
France,2010,male,35-54 years,3118.0,8518205.0
France,2010,male,5-14 years,23.0,3947453.0
France,2010,male,55-74 years,1956.0,6187723.0
France,2010,male,75+ years,1354.0,2081818.0
France,2011,female,15-24 years,124.0,3794959.0
France,2011,female,25-34 years,171.0,3930109.0
France,2011,female,35-54 years,1011.0,8695673.0
France,2011,female,5-14 years,13.0,3786009.0
France,2011,female,55-74 years,846.0,6902929.0
France,2011,female,75+ years,453.0,3588632.0
France,2011,male,15-24 years,367.0,3914976.0
France,2011,male,25-34 years,778.0,3844358.0
France,2011,male,35-54 years,3151.0,8492211.0
France,2011,male,5-14 years,23.0,3969371.0
France,2011,male,55-74 years,2048.0,6298402.0
France,2011,male,75+ years,1423.0,2127014.0
France,2012,female,15-24 years,106.0,3776265.0
France,2012,female,25-34 years,183.0,3948305.0
France,2012,female,35-54 years,891.0,8655592.0
France,2012,female,5-14 years,11.0,3813821.0
France,2012,female,55-74 years,767.0,7023009.0
France,2012,female,75+ years,459.0,3626173.0
France,2012,male,15-24 years,359.0,3900107.0
France,2012,male,25-34 years,688.0,3856840.0
France,2012,male,35-54 years,2903.0,8465545.0
France,2012,male,5-14 years,22.0,3995444.0
France,2012,male,55-74 years,1939.0,6408537.0
France,2012,male,75+ years,1415.0,2168819.0
France,2013,female,15-24 years,116.0,3728182.0
France,2013,female,25-34 years,160.0,3972053.0
France,2013,female,35-54 years,846.0,8632938.0
France,2013,female,5-14 years,11.0,3849484.0
France,2013,female,55-74 years,816.0,7157766.0
France,2013,female,75+ years,426.0,3642541.0
France,2013,male,15-24 years,310.0,3849077.0
France,2013,male,25-34 years,700.0,3873724.0
France,2013,male,35-54 years,2852.0,8444516.0
France,2013,male,5-14 years,18.0,4032157.0
France,2013,male,55-74 years,2003.0,6526578.0
France,2013,male,75+ years,1342.0,2201053.0
France,2014,female,15-24 years,92.0,3711936.0
France,2014,female,25-34 years,170.0,3985618.0
France,2014,female,35-54 years,778.0,8608404.0
France,2014,female,5-14 years,12.0,3878553.0
